Quarter-ID,QUARTER,YEAR,Course UID,CLASS,TITLE,UNITS,DATES,TIMES,PROGRAM,WEEKS,INSTRUCTOR,Comments
4,SUMMER 2021,,,MSIS 2540,Practicum,1,TBD,TBD,MS,,,
2,WINTER 2021,,,MSIS 2540,Practicum,1,TBD,,MS,,,
3,SPRING 2021,,,MSIS 2542,Practicum,2,,,MS,,,
2,WINTER 2021,,,IDIS 3802,Python - ONLINE,4,,ONLINE,OMBA,,"Lu, Haibing",
4,SUMMER 2021,,,IDIS 3802,Python - ONLINE,4,,ONLINE,OMBA,,"Lu, Haibing",
1,FALL 2020,,,OMIS 3200,Quantitative Methods,2,TR,5:45pm-7:20pm,MBA,6-10,,spelling of course title corrected by Andy
1,FALL 2020,,,OMIS 3200,Quantitative Methods,2,TR,7:35pm-9:10pm,MBA,6-10,,spelling of course title corrected by Andy
1,FALL 2020,,,OMIS 3200,Quantitative Methods,2,MW,7:35pm-9:10pm,MBA,6-10,,spelling of course title corrected by Andy
3,SPRING 2021,,,OMIS 3200,Quantitative Methods,2,MW,7:35pm-9:10pm,MBA,6-10,,spelling of course title corrected by Andy
4,SUMMER 2021,,,OMIS 3200,Quantitative Methods,2,MW,7:35pm-9:10pm,MBA,6-10,,spelling of course title corrected by Andy
1,FALL 2020,,,OMIS 3200,Quantitative Methods,2,,ONLINE,OMBA,6-10,,spelling of course title corrected by Andy
2,WINTER 2021,,,OMIS 3200,Quantitative Methods,2,,ONLINE,OMBA,6-10,,spelling of course title corrected by Andy
3,SPRING 2021,,,OMIS 3200,Quantitative Methods,2,,ONLINE,OMBA,,,spelling of course title corrected by Andy
4,SUMMER 2021,,,OMIS 3200,Quantitative Methods,2,,ONLINE,OMBA,6-10,,spelling of course title corrected by Andy
1,FALL 2020,,,OMIS XXXX/MSIS 2406/MSIS 2632,R Programming,2,R,5:45pm-7:20pm,MBA/MS,1-10,,
3,SPRING 2021,,,MSIS 2632,R Programming,2,Tuesday,7:35pm-9:10pm,MS,1-10,,
4,SUMMER 2021,,,MSIS 26XX,Reinforcement Learning,2,MW,5:45pm-7:20pm,MS,1-5,,
1,FALL 2020,,,MSIS 2606,Software Project Management,4,MW,4:00 PM,,,,Open to moving this per RF
4,SUMMER 2021,,,MSIS 2606,Software Project Management,4,MW,7:35pm-9:10pm,MS,,,
2,WINTER 2021,,,OMIS,Supply Chain Analytics,,,,,,"Agrawal, N.  (Additional after orginal ask)",
4,SUMMER 2021,,,OMIS 3384,Supply Chain Management,4,TR,7:35pm-9:10pm,MBA/MS,,,"Are they two different sections? If yes, can we offer them at different times?"
4,SUMMER 2021,,,OMIS 3384,Supply Chain Management,4,TR,7:35pm-9:10pm,MS,,,
,SUMMER 2021,,,OMIS 3384,Supply Chain Management,4,TR,7:35pm-9:10pm,MS,,move to another quarter or cancel,
,FALL 2020,,,OMIS,Supply Chain Management,,,,,,"Bala, R.  (Addition after original ask)",
